year,month,source,category,subCategory,amount
2018,Jan,Budget,Groceries,Groceries,264.28
2018,Jan,Budget,Health,Drugs and pharmaceuticals,0.00
2018,Jan,Budget,Health,Health Insurance,0.00
2018,Jan,Budget,Health,Medical Services,0.00
2018,Jan,Budget,Housing,Rent and mortgage interest,2804.26
2018,Jan,Budget,Other expenses,Other expenses,0.00
2018,Jan,Budget,Recreation,Bars & restaurants,396.42
2018,Jan,Budget,Recreation,Fitness centre,1129.80
2018,Jan,Budget,Recreation,Going out,0.00
2018,Jan,Budget,Recreation,Personal Care,0.00
2018,Jan,Budget,Recreation,Races,0.00
2018,Jan,Budget,Recreation,Training & further education,0.00
2018,Jan,Budget,Shopping,Books & literature,0.00
2018,Jan,Budget,Shopping,"Clothing, shoes & accessories",264.28
2018,Jan,Budget,Shopping,Electronics & Appliances,0.00
2018,Jan,Budget,Shopping,Furniture,0.00
2018,Jan,Budget,Shopping,Gifts,720.16
2018,Jan,Budget,Shopping,Household Articles,0.00
2018,Jan,Budget,Shopping,Sport and recreation equipment,0.00
2018,Jan,Budget,Transportation,Car Insurance,0.00
2018,Jan,Budget,Transportation,Fuel,0.00
2018,Jan,Budget,Transportation,Leasing Costs,0.00
2018,Jan,Budget,Transportation,Parking Charges,0.00
2018,Jan,Budget,Transportation,Public Transport,132.14
2018,Jan,Budget,Transportation,Service & Maintenance,0.00
2018,Jan,Budget,Transportation,Taxes and Fines,0.00
2018,Jan,Budget,Transportation,Vehicle purchase costs,0.00
2018,Jan,Budget,Utilities & Bills,Banking services & charges,0.00
2018,Jan,Budget,Utilities & Bills,Broadband,44.91
2018,Jan,Budget,Utilities & Bills,Energy,125.53
2018,Jan,Budget,Utilities & Bills,Maintenance and repairs,0.00
2018,Jan,Budget,Utilities & Bills,Misc. Fees,0.00
2018,Jan,Budget,Utilities & Bills,Moving,0.00
2018,Jan,Budget,Utilities & Bills,Postal Charges,0.00
2018,Jan,Budget,Utilities & Bills,Telephone & Mobile,39.64
2018,Jan,Budget,Utilities & Bills,TV & Multimedia,44.93
2018,Jan,Budget,Vacation & Travel,Vacation & Travel,1321.40
2018,Jan,Actuals,Groceries,Groceries,425.35
2018,Jan,Actuals,Housing,Rent and mortgage interest,2804.26
2018,Jan,Actuals,Other expenses,Cash Withdrawls,39.64
2018,Jan,Actuals,Recreation,Bars & restaurants,463.53
2018,Jan,Actuals,Recreation,Fitness centre,81.73
2018,Jan,Actuals,Recreation,Lunch - Work,28.21
2018,Jan,Actuals,Shopping,Books & literature,18.50
2018,Jan,Actuals,Shopping,"Clothing, shoes & accessories",262.92
2018,Jan,Actuals,Shopping,Electronics & Appliances,1848.64
2018,Jan,Actuals,Shopping,Furniture,445.97
2018,Jan,Actuals,Shopping,Household Articles,383.13
2018,Jan,Actuals,Transportation,Public Transport,383.73
2018,Jan,Actuals,Utilities & Bills,Broadband,39.63
2018,Jan,Actuals,Utilities & Bills,Energy,84.49
2018,Jan,Actuals,Utilities & Bills,Misc. Fees,44.45
2018,Jan,Actuals,Vacation & Travel,Flights & Rail,179.84
2018,Feb,Budget,Groceries,Groceries,259.88
2018,Feb,Budget,Health,Drugs and pharmaceuticals,0.00
2018,Feb,Budget,Health,Medical Services,0.00
2018,Feb,Budget,Housing,Rent and mortgage interest,2757.33
2018,Feb,Budget,Other expenses,Other expenses,0.00
2018,Feb,Budget,Recreation,Bars & restaurants,389.82
2018,Feb,Budget,Recreation,Going out,0.00
2018,Feb,Budget,Recreation,Personal Care,0.00
2018,Feb,Budget,Recreation,Races,0.00
2018,Feb,Budget,Shopping,Books & literature,0.00
2018,Feb,Budget,Shopping,"Clothing, shoes & accessories",259.88
2018,Feb,Budget,Shopping,Electronics & Appliances,0.00
2018,Feb,Budget,Shopping,Furniture,0.00
2018,Feb,Budget,Shopping,Gifts,708.17
2018,Feb,Budget,Shopping,Household Articles,0.00
2018,Feb,Budget,Shopping,Sport and recreation equipment,0.00
2018,Feb,Budget,Transportation,Fuel,0.00
2018,Feb,Budget,Transportation,Leasing Costs,0.00
2018,Feb,Budget,Transportation,Parking Charges,0.00
2018,Feb,Budget,Transportation,Public Transport,129.94
2018,Feb,Budget,Transportation,Taxes and Fines,0.00
2018,Feb,Budget,Utilities & Bills,Banking services & charges,0.00
2018,Feb,Budget,Utilities & Bills,Broadband,44.17
2018,Feb,Budget,Utilities & Bills,Energy,123.44
2018,Feb,Budget,Utilities & Bills,Maintenance and repairs,0.00
2018,Feb,Budget,Utilities & Bills,Misc. Fees,0.00
2018,Feb,Budget,Utilities & Bills,Moving,0.00
2018,Feb,Budget,Utilities & Bills,Postal Charges,0.00
2018,Feb,Budget,Utilities & Bills,Telephone & Mobile,38.98
2018,Feb,Budget,Utilities & Bills,TV & Multimedia,44.18
2018,Feb,Budget,Vacation & Travel,Vacation & Travel,1299.40
2018,Feb,Actuals,Groceries,Groceries,293.12
2018,Feb,Actuals,Housing,Rent and mortgage interest,2757.33
2018,Feb,Actuals,Other expenses,Cash Withdrawls,38.98
2018,Feb,Actuals,Recreation,Bars & restaurants,608.57
2018,Feb,Actuals,Recreation,Fitness centre,42.23
2018,Feb,Actuals,Recreation,Going out,119.22
2018,Feb,Actuals,Recreation,Lunch - Work,75.88
2018,Feb,Actuals,Shopping,"Clothing, shoes & accessories",242.35
2018,Feb,Actuals,Shopping,Furniture,48.03
2018,Feb,Actuals,Shopping,Household Articles,163.59
2018,Feb,Actuals,Transportation,Public Transport,273.46
2018,Feb,Actuals,Utilities & Bills,Banking services & charges,9.25
2018,Feb,Actuals,Utilities & Bills,Broadband,38.97
2018,Feb,Actuals,Utilities & Bills,Energy,268.33
2018,Feb,Actuals,Vacation & Travel,Accomodation,151.35
2018,Feb,Actuals,Vacation & Travel,Eat & Drink,2.48
2018,Feb,Actuals,Vacation & Travel,Flights & Rail,526.71
2018,Mar,Budget,Groceries,Groceries,267.24
2018,Mar,Budget,Health,Drugs and pharmaceuticals,0.00
2018,Mar,Budget,Health,Medical Services,0.00
2018,Mar,Budget,Housing,Rent and mortgage interest,2835.42
2018,Mar,Budget,Other expenses,Other expenses,0.00
2018,Mar,Budget,Recreation,Bars & restaurants,400.86
2018,Mar,Budget,Recreation,Going out,0.00
2018,Mar,Budget,Recreation,Personal Care,0.00
2018,Mar,Budget,Recreation,Races,0.00
2018,Mar,Budget,Shopping,Books & literature,0.00
2018,Mar,Budget,Shopping,"Clothing, shoes & accessories",267.24
2018,Mar,Budget,Shopping,Electronics & Appliances,0.00
2018,Mar,Budget,Shopping,Furniture,0.00
2018,Mar,Budget,Shopping,Gifts,728.23
2018,Mar,Budget,Shopping,Household Articles,0.00
2018,Mar,Budget,Shopping,Sport and recreation equipment,0.00
2018,Mar,Budget,Transportation,Fuel,0.00
2018,Mar,Budget,Transportation,Leasing Costs,0.00
2018,Mar,Budget,Transportation,Parking Charges,0.00
2018,Mar,Budget,Transportation,Public Transport,133.62
2018,Mar,Budget,Transportation,Taxes and Fines,0.00
2018,Mar,Budget,Utilities & Bills,Banking services & charges,0.00
2018,Mar,Budget,Utilities & Bills,Broadband,45.42
2018,Mar,Budget,Utilities & Bills,Energy,126.94
2018,Mar,Budget,Utilities & Bills,Maintenance and repairs,0.00
2018,Mar,Budget,Utilities & Bills,Misc. Fees,0.00
2018,Mar,Budget,Utilities & Bills,Moving,0.00
2018,Mar,Budget,Utilities & Bills,Postal Charges,0.00
2018,Mar,Budget,Utilities & Bills,Telephone & Mobile,40.09
2018,Mar,Budget,Utilities & Bills,TV & Multimedia,45.43
