id,name,status,start,end,countries,budget,spent,tags,days
t_001,18.01 - Ireland,completed,2018-01-11,14.01.2018,Ireland,, 179.84 ,family,
t_002,18.02 - Lisbon,completed,2018-02-09,11.02.2018,Portugal,, 680.55 ,city break,
t_003,18.04 - Dublin,completed,2018-04-01,,Ireland,, 153.80 ,family,
t_004,18.04 - Sweden,completed,2018-03-30,02.04.2018,Sweden,, 1'756.42 ,city break,
t_005,18.05 - Ireland,completed,2018-05-01,,Ireland,, 547.05 ,family,
t_006,18.06 - Mummy Papa London Visit,completed,2018-06-01,,United Kingdom,, 1'992.81 ,visitors,
t_007,18.08 - Norway,completed,2018-08-20,,Norway,, 2'072.25 ,active,
t_008,18.09 - Ireland,completed,2018-09-01,,Ireland,, 371.11 ,family,
t_009,18.09 - John & Kate in London,completed,2018-09-10,,United Kingdom,, 69.08 ,visitors,
t_010,18.10 - Ireland,completed,2018-10-10,,Ireland,, 565.31 ,race,
t_011,18.12 - India,completed,2018-12-01,,India,, 3'227.08 ,family,
t_012,18.12 - Ireland,completed,2018-12-01,,Ireland,, 388.23 ,family,
t_013,19.04 - Ireland,completed,2019-04-01,,Ireland,, 583.81 ,family,
t_014,19.04 - Tokyo,completed,2019-04-10,,Japan,, 3'449.49 ,city break,
t_015,"19.05 - Billie, Mary & Aisling in London",completed,2019-05-01,,United Kingdom,, 726.65 ,visitors,
t_016,19.06 - Ireland,completed,2019-06-01,,Ireland,, 153.59 ,family,
t_017,19.07 - Bulgaria,completed,2019-07-01,,Bulgaria,, 1'226.67 ,active,
t_018,19.08 - India,completed,,,India,, 2'204.97 ,family,
t_019,19.08 - Ireland,completed,,,Ireland,, 96.69 ,family,
t_020,19.09 - Australia,completed,,,Australia,, 335.18 ,family,
t_021,19.10 - Ireland,completed,,,Ireland,, 237.68 ,race,
t_022,19.12 - India,completed,,,India,, 1'665.20 ,family,
t_023,19.12 - Ireland,completed,,,Ireland,, 83.88 ,family,
t_024,20.03 - India,completed,,,India,, 1'807.48 ,family,
t_025,20.09 - Cornwall,completed,,,United Kingdom,, 485.54 ,active,
t_026,21.10 - India,completed,,,India,, 1'039.54 ,family,
t_027,21.10 - Ireland,completed,,,Ireland,, 356.53 ,race,
t_028,21.12 - Ireland,completed,,,Ireland,, 643.65 ,family,
t_029,22.02 - India,completed,,,India,, 850.86 ,family,
